263;10.95; 1.40; 0.10;1;0;0
264; 7.63; 1.42; 0.11;1;0;0
265; 3.38; 1.43; 0.11;1;0;0
280; 0.37; 1.38; 0.11;1;0;0
280;15.39; 1.39; 0.11;1;0;0
281;13.77; 1.41; 0.11;1;0;0
281;10.71; 1.43; 0.11;1;0;0
282; 7.30; 1.44; 0.11;1;0;0
283; 3.35; 1.45; 0.12;1;0;0
286; 2.34; 1.46; 0.12;1;0;0
286;18.54; 1.48; 0.12;1;0;0
286;16.58; 1.50; 0.12;1;0;0
287;13.56; 1.51; 0.12;1;0;0
287;10.50; 1.53; 0.12;1;0;0
288; 7.26; 1.54; 0.12;1;0;0
290; 3.28; 1.55; 0.13;1;0;0
324; 0.16; 1.41; 0.13;1;0;0
325; 2.86; 1.41; 0.13;1;0;0
326; 5.26; 1.43; 0.13;1;0;0
327; 5.89; 1.44; 0.13;1;0;0
328;15.44; 1.45; 0.13;1;0;0
328;19.48; 1.47; 0.14;1;0;0
328;16.85; 1.48; 0.14;1;0;0
329;13.81; 1.50; 0.14;1;0;0
329;10.80; 1.51; 0.14;1;0;0
330; 7.49; 1.52; 0.14;1;0;0
331; 3.68; 1.53; 0.14;1;0;0
333; 3.30; 1.54; 0.14;1;0;0
334; 5.52; 1.55; 0.15;1;0;0
335; 8.40; 1.57; 0.15;1;0;0
336; 4.61; 1.58; 0.15;1;0;0
336; 8.28; 1.59; 0.15;1;0;0
337;14.25; 1.60; 0.15;1;0;0
337;11.40; 1.62; 0.15;1;0;0
338; 8.09; 1.63; 0.15;1;0;0
339; 4.31; 1.64; 0.16;1;0;0
395; 0.10; 1.42; 0.16;1;0;0
396;14.68; 1.43; 0.16;1;0;0
396;14.02; 1.45; 0.16;1;0;0
397;10.95; 1.46; 0.16;1;0;0
397; 7.56; 1.47; 0.16;1;0;0
398; 4.75; 1.48; 0.17;1;0;0
399;13.13; 1.49; 0.17;1;0;0
399;18.16; 1.50; 0.17;1;0;0
399;15.35; 1.51; 0.17;1;0;0
400;12.29; 1.53; 0.17;1;0;0
400; 9.11; 1.54; 0.17;1;0;0
401; 5.66; 1.55; 0.17;1;0;0
483; 0.07; 1.30; 0.18;1;0;0
483; 8.19; 1.31; 0.18;1;0;0
484; 5.15; 1.32; 0.18;1;0;0
485; 5.22; 1.32; 0.18;1;0;0
486; 7.82; 1.33; 0.18;1;0;0
486;18.28; 1.34; 0.18;1;0;0
487;20.76; 1.35; 0.18;1;0;0
487;18.22; 1.36; 0.19;1;0;0
487;15.35; 1.37; 0.19;1;0;0
488;12.43; 1.38; 0.19;1;0;0
488; 9.33; 1.39; 0.19;1;0;0
489; 5.99; 1.40; 0.19;1;0;0
495; 0.98; 1.40; 0.19;1;0;0
496; 4.25; 1.40; 0.19;1;0;0
547; 0.10; 1.28; 0.20;1;0;0
547;13.36; 1.29; 0.20;1;0;0
548;16.28; 1.30; 0.20;1;0;0
548;12.66; 1.31; 0.20;1;0;0
549; 8.15; 1.32; 0.20;1;0;0
549; 9.69; 1.33; 0.20;1;0;0
550;17.22; 1.33; 0.21;1;0;0
550;20.21; 1.34; 0.21;1;0;0
550;17.74; 1.35; 0.21;1;0;0
551;13.00; 1.36; 0.21;1;0;0
551; 9.92; 1.37; 0.21;1;0;0
552;14.60; 1.38; 0.21;1;0;0
552;20.92; 1.39; 0.21;1;0;0
552;21.09; 1.40; 0.22;1;0;0
552;15.71; 1.41; 0.22;1;0;0
553; 8.22; 1.41; 0.22;1;0;0
554; 8.52; 1.42; 0.22;1;0;0
554;15.90; 1.43; 0.22;1;0;0
554;19.91; 1.44; 0.22;1;0;0
555;16.48; 1.45; 0.22;1;0;0
556; 3.39; 1.45; 0.23;1;0;0
556;19.00; 1.46; 0.23;1;0;0
557;18.93; 1.47; 0.23;1;0;0
557;16.04; 1.48; 0.23;1;0;0
557;13.10; 1.49; 0.23;1;0;0
558; 9.99; 1.50; 0.23;1;0;0
