0;0;0;0;0;0
0;25.32;75.96; 0.01;1;0
0;25.84;51.16; 0.01;1;0
1; 8.74;25.95; 0.01;1;0
1;40.16;27.58; 0.01;1;0
1;50.13;29.47; 0.01;1;0
2;14.17;25.97; 0.02;1;0
2;24.90;25.84; 0.02;1;0
3; 6.30;19.72; 0.02;1;0
4; 7.55;17.20; 0.02;1;0
5;11.78;16.57; 0.02;1;0
5;39.73;17.34; 0.03;1;0
6;11.25;16.70; 0.03;1;0
7; 6.93;15.27; 0.03;1;0
7;22.56;15.58; 0.03;1;0
8; 7.55;14.66; 0.04;1;0
9;21.34;14.92; 0.04;1;0
9;32.06;15.35; 0.04;1;0
9;53.35;15.92; 0.04;1;0
9;52.97;16.47; 0.04;1;0
9;19.71;16.59; 0.05;1;0
12; 3.17;14.02; 0.05;1;0
12;11.16;13.87; 0.05;1;0
13;56.58;14.30; 0.05;1;0
13;103.74;14.79; 0.05;1;0
13;61.22;15.22; 0.06;1;0
13;97.00;15.69; 0.06;1;0
13;20.46;15.82; 0.06;1;0
13;32.62;16.10; 0.06;1;0
14;42.92;16.43; 0.06;1;0
14;38.70;16.73; 0.07;1;0
14;34.90;17.00; 0.07;1;0
14;71.13;17.39; 0.07;1;0
14;23.64;17.52; 0.07;1;0
16; 4.83;16.33; 0.07;1;0
23; 1.12;11.94; 0.08;1;0
23; 8.97;11.84; 0.08;1;0
24;25.23;12.00; 0.08;1;0
24;31.25;12.19; 0.08;1;0
24;49.79;12.42; 0.09;1;0
24;72.51;12.67; 0.09;1;0
24;71.13;12.92; 0.09;1;0
25;30.99;13.09; 0.09;1;0
25;16.24;13.15; 0.09;1;0
25;29.88;13.31; 0.10;1;0
25;68.52;13.54; 0.10;1;0
26;32.90;13.71; 0.10;1;0
26;15.06;13.73; 0.10;1;0
27;10.36;13.65; 0.10;1;0
27;15.82;13.68; 0.11;1;0
28;32.19;13.84; 0.11;1;0
43; 0.48; 9.07; 0.11;1;0
43;22.77; 9.18; 0.11;1;0
44;31.38; 9.30; 0.11;1;0
44;11.53; 9.33; 0.12;1;0
47; 2.49; 8.90; 0.12;1;0
48;38.30; 9.02; 0.12;1;0
48;32.62; 9.13; 0.12;1;0
48;37.91; 9.25; 0.12;1;0
48;43.42; 9.37; 0.13;1;0
48;38.30; 9.48; 0.13;1;0
49;37.91; 9.60; 0.13;1;0
49;29.06; 9.70; 0.13;1;0
49;43.93; 9.82; 0.13;1;0
49;23.41; 9.91; 0.14;1;0
49;56.16;10.03; 0.14;1;0
50;34.10;10.13; 0.14;1;0
50;28.29;10.23; 0.14;1;0
50;56.16;10.35; 0.15;1;0
50;43.17;10.46; 0.15;1;0
51; 7.90;10.41; 0.15;1;0
